StateFIPS,State,WIC participants FY 2009,WIC participants FY 2011,"WIC participants, FY 2012","WIC participants, FY 2013","WIC participants, FY 2014","WIC participants, FY 2015",National School Lunch Program participants FY 2009,National School Lunch Program participants FY 2011,"National School Lunch Program participants, FY 2012","National School Lunch Program participants, FY 2013","National School Lunch Program participants, FY 2014","National School Lunch Program participants, FY 2015",School Breakfast Program participants FY 2009,School Breakfast Program participants FY 2011,"School Breakfast Program participants, FY 2012","School Breakfast Program participants, FY 2013","School Breakfast Program participants, FY 2014","School Breakfast Program participants, FY 2015",Child and Adult Care particpants FY 2009,Child and Adult Care particpants FY 2011,"Child and Adult Care participants, FY 2012","Child and Adult Care participants, FY 2013","Child and Adult Care participants, FY 2014","Child and Adult Care participants, FY 2015",Summer Food particpants FY 2009,Summer Food participants FY 2011,"Summer Food participants, FY 2012","Summer Food participants, FY 2013","Summer Food participants, FY 2014","Summer Food participants, FY 2015","State Population, 2009","State Population, 2010","State Population,  2011","State Population, 2012","State Population,  2013","State Population,  2014","State Population,  2015","State Population,  2016"
1,Alabama,140810,143768,141899.8333,139000.5,131046.25,132132.75,579880,571291.1423,562959.0076,539664.2694,531099.2449,531306.4845,212316,216714.3713,224489.7519,224172.9594,236579.8873,254270.2865,43136,42773.5,42903.75,41862.5,45038.75,51291.25,26599,24724,26077,30308,42484,49907,4708708,4785401,4802740,4817528,4833722,4849377,4858979,4863300
2,Alaska,25816,26295,24969.3333,23054.6667,19604.6667,19682.0,53554,54410.0444,53919.813,52495.0258,51002.8767,53616.9244,16943,19974.2299,20758.7199,20740.7407,21044.7081,25111.231,9874,9616.0,10540.75,10962.75,11429.5,10786.5,2345,6564,4661,5078,6670,5850,698473,714146,722718,730307,735132,736732,738432,741894
4,Arizona,208873,199343,193214.0834,182500.75,173020.1667,167072.25,655498,661436.7734,662439.5302,646766.7506,644173.319,647390.6269,231674,261118.6624,274596.3083,289520.1966,300355.3878,308723.3609,45772,42160.5,41670.75,42945.25,40344.0,42557.0,12403,23732,27554,23688,23209,16007,6595778,6413158,6482505,6551149,6626624,6731484,6828065,6931071
5,Arkansas,94107,93461,94292.75,89776.8333,83288.5833,84219.5833,351950,352817.8113,348908.9057,332496.9435,327469.1358,320995.2055,155258,158053.0984,162017.9792,166376.4833,172604.6986,180502.577,43974,51644.25,55787.0,67629.75,76841.25,67984.5,17494,21841,26217,41946,45837,31081,2889450,2921588,2937979,2949828,2959373,2966369,2978204,2988248
6,California,1439006,1466564,1472468.25,1431881.4167,1348938.5833,1265005.25,3175063,3282276.5192,3355494.4265,3294580.3668,3280666.0674,3271856.5264,1172714,1288654.6806,1406620.1606,1517341.2442,1645954.0932,1691545.8468,327838,327270.25,362931.0,451422.0,512186.5,563089.25,95080,115628,104384,114689,115937,128051,36961664,37338198,37691912,37999878,38332521,38802500,39144818,39250017
8,Colorado,107930,104129,103768.75,96873.5833,91990.9167,90953.5,390868,399392.6645,389955.4117,375033.3213,372674.6974,378228.9344,107139,126775.5004,142955.6514,155733.3094,168991.6098,185013.6641,34480,33486.25,32550.25,32507.25,31816.5,43319.75,12804,15569,16646,17933,19076,20180,5024748,5047692,5116796,5189458,5268367,5355866,5456574,5540545
9,Connecticut,60148,56083,56583.5833,54248.1667,52560.75,51295.4167,302997,301544.8879,296699.3887,280253.3861,281934.436,280151.6241,68912,81660.4339,86529.306,87970.8738,93236.4857,95008.63,18678,19655.75,20326.25,20779.75,20479.75,21873.25,12285,10834,10185,12171,17274,28276,3518288,3575498,3580709,3591765,3596080,3596677,3590886,3576452
10,Delaware,24028,22553,22213.6667,20796.9167,19872.8333,18997.9167,90073,94721.563,96040.1534,94570.7779,94943.4256,97977.9456,33202,36698.7894,38624.116,39521.9945,41136.8812,47973.9902,15773,18991.0,18366.75,19016.0,18886.0,19986.75,10727,9129,14366,8190,9935,10298,885122,899792,907135,917053,925749,935614,945934,952065
11,District of Columbia,17473,16537,16474.25,15674.25,14500.5,14525.9167,44579,46699.0291,47734.6278,50569.4594,50809.4211,52668.3447,20431,29829.9173,33281.4335,34873.4268,34873.9063,34498.7415,5975,5189.0,7827.75,4989.5,5764.75,5581.0,35298,36690,36158,34778,39449,28713,599657,604912,617996,633427,646449,658893,672228,681170
12,Florida,505671,492071,495404.8333,483564.6667,466735.5833,483810.8333,1560392,1648779.2161,1653679.9712,1638775.1408,1652118.3028,1675731.032,610818,684278.7966,711285.0294,750969.4355,773079.8274,786519.3575,180614,203266.0,210496.5,223790.75,248434.0,269549.5,127826,129450,137796,145389,155570,163445,18537969,18838613,19057542,19320749,19552860,19893297,20271272,20612439
13,Georgia,499213,469456,303874.6667,289524.4167,271416.0,264298.9167,1290996,1301069.2797,1287032.722,1245367.6136,1236304.4468,1236153.5419,564627,600641.6157,620654.8004,608138.0798,626649.7663,626930.2409,140053,138076.0,135286.25,138070.0,141104.25,141717.25,68454,75836,84854,71557,98044,101239,9829211,9712157,9815210,9915646,9992167,10097343,10214860,10310371
